Scheme Name,Details,Entities
Devnarayan Post Matric Scholarship Scheme,The post-matriculation scholarship scheme is for the educational upgradation of students belonging to the very backward classes from class 11 to PhD level education in the state.,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""PhD""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Support for One Time Settlement (OTS) of NPA Accounts of PWCS,"“Support for One Time Settlement (OTS) of NPA Accounts of PWCS"" is a sub-scheme under ""West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024”, launched by the Micro, Small & Medium Enterprise and Textiles Department, Government of West Bengal on 7th March, 2024, and it shall remain in force for a period of five years. The objective of this sub-scheme is to make  Primary Weavers’ Cooperative Societies (PWCS) debt free by providing financial support for One Time Settlement (OTS) of NPA accounts of PWCS in The West Bengal State Cooperative Bank Ltd. (WBSCB Ltd.) / various District Central Cooperative Banks (DCCBs).
﻿","{""AGE"": [""2024"", ""7th March, 2024""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Basic Agriculture Training Centre Scheme,"The “Basic Agriculture Training Centre Scheme” is a State Plan Scheme, which is implemented by the Department of Agriculture & Farmers’ Welfare, Government of Meghalaya. The objective of the scheme is to provide short-term vocational training for rural educated unemployed youths in agriculture and allied sectors to develop entrepreneurship skills and employment generation.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Department of Agriculture & Farmers\u2019 Welfare, Government of Meghalaya""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Supplementary Nutrition Programme- Bihar,"The ""Supplementary Nutrition Programme"" is implemented by the Social Welfare Department, Government of Bihar, across all districts of the state under the Integrated Child Development Services (ICDS) Scheme (Mission Mode). The programme aims to enhance the nutritional level of normal/malnourished/severely malnourished children aged 6 months to 6 years, as well as pregnant women and lactating mothers, through Anganwadi centers. The nutritional standards in the state are set in accordance with the guidelines issued by the Ministry of Women and Child Development, Government of India, New Delhi. This programme is centrally sponsored with a funding ratio of 50:50 between the Central and State governments.","{""AGE"": [""6 months to 6 years""], ""GENDER"": [], ""LOCATION"": [""Anganwadi"", ""New Delhi""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Prime Minister’s Special Scholarship Scheme For The Students Of Union Territories Of Jammu & Kashmir And Ladakh,"Launch in the year 2011, PMSSS is a scholarship scheme by the All India Council for Technical Education (AICTE) for the students who are domicile of the UTs of J&K and Ladakh who, after passing Class 12th or equivalent examination, secure admission in government colleges/institutions and other select institutions outside the UTs of J&K and Ladakh through AICTE’s counseling process under the supernumerary quota created by the government (except in medical courses). The applicant should have passed the Class 12th examination from JKBOSE or CBSE-affiliated schools located in the UTs of J&K and Ladakh. The family income of the applicant should not exceed ₹8,00,000 per annum. 5000 fresh scholarships are available per annum. 2070 scholarships are for General Degree Courses, 2830 for Professional/Engineering courses, and 100 for Medical Courses.","{""AGE"": [""the year 2011"", ""12th"", ""2070"", ""2830""], ""GENDER"": [], ""LOCATION"": [""PMSSS""], ""OCCUPATION"": [], ""INCOME"": [""8,00,000""], ""SOCIAL_CATEGORY"": [""General""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
West Bengal Transport Workers’ Social Security Scheme: Assistance on Hospitalization,"The “West Bengal Transport Workers’ Social Security Scheme: Assistance on Hospitalization” by the Labour Department, offers assistance to transport workers who are hospitalized for five or more days due to an accident. Benefits are directly transferred to the beneficiaries' bank accounts through Direct Benefit Transfer (DBT).
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Bhavantar Bharpai Yojana,"The scheme “Bhavantar Bharpai Yojana”, implemented by the Department of Horticulture, Government of Haryana, aims to protect horticultural farmers from market price fluctuations and compensate them if they receive low prices for their produce in the market.
Objectives:
To reduce the financial risk for farmers during periods of low market prices for vegetables and fruits by ensuring a protected price.
To encourage diversification in agriculture by supporting horticultural farmers.
Crops covered under the scheme:
21 Crops: Ladyfinger, Chilli, Bottle Gourd, Bitter Gourd, Cabbage, Radish, Tomato, Onion, Potato, Cauliflower, Carrot, Peas, Capsicum, Brinjal, Turmeric, Garlic, Mango, Kinnow, Guava, Litchi, Plum","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Garlic"", ""Mango""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,"Detailed
The aim of the scheme is to help the poor students by providing them financial assistance for purchase of stationery so that their parents do not feel any burden in sending their children to schools. Under this scheme, financial assistance for purchase of stationery is given to those SC/ST/OBC/Minorities students, who are studying in Central Govt. / Govt. of Delhi / Aided / Recognized Local Bodies Schools etc. through the principal of the respective school and whose parental income does not exceed Rs. 2.00 Lakh per annum and attendance should not be less than 70% in the preceding year.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""SC"", ""ST"", ""OBC""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Viranarayan Singh Shram Ann Yojana,"Labor Department of Chhattisgarh State started this scheme ""Viranarayan Singh Shram Ann Yojana"" for unorganized worker on 17 January 2018. The main objective of the scheme to provide the food assistance for unorganized worker at their work places.","{""AGE"": [""17 January 2018""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan Scheme For Farmers.,"Pradhan Mantri Kisan Urja Surakshaevam Utthaan Mahabhiyan Yojana (PM-KUSUM Scheme) was launched in March 2019 by the Ministry of New and Renewable Energy (MNRE), to subsidize farmers to install solar irrigation pumps for cultivation. Each farmer will receive a 60% subsidy to set up tube wells and pump sets. They will also get 30% of the total cost as a loan from the Government.
﻿
The primary objective of the PM KUSUM Scheme is to make cutting-edge technology available to our farmers and provide sources for de-dieselized irrigation to the agricultural sector. The main objectives of this scheme are:
The solar pumps assist our farmers in much more effective and eco-friendly irrigation as these are capable of generating safer energy.
In addition, the pump sets comprise an energy power grid that generates more energy than diesel-driven pumps. Farmers will be able to sell the extra power to our Government directly to enhance their income.
﻿
KUSUM Scheme comprises 3 components that have different features:
Component A:
Install a total of 10GV grid-connected stilt-mounted decentralized solar plants and other renewable energy-based power plants. Each plant is sized up to 500KW to 2MV.
Component B:
Install stand-alone solar pumps of up to 7.5HP individual capacity and worth 17.50 lakh.
Component C:
Provide financial support to Solaris 10 lakh grid-connected agricultural pumps of 7.5HP of capacity each.","{""AGE"": [""March 2019""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Funeral Assistance Scheme (PULWS),"The ""Funeral Assistance Scheme (PULWS)"" is a Welfare Scheme for the Unorganized Workers in Puducherry by the ""Puducherry Unorganised Labourers' Welfare Society"", Labour Department, Union Territory of Puducherry. The Society extends ₹7,000/- to the nominee of the deceased Unorganised Worker towards meeting the funeral expenses. The amount is credited through Direct Benefit Transfer (DBT) into the bank account of the nominee. The applications are accepted offline.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Unorganized Workers""], ""INCOME"": [""7,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Special Jobs to PwDs - Helper,"The scheme ""Special Job to PwDs - Helper"" was introduced by the Department of Social Welfare & Tribal Affairs, Union Territory of Lakshadweep, to provide temporary employment opportunities to Persons with Disabilities (PwDs) with a minimum of 40% disability in the UT. Under this scheme, three (3) PwD candidates are employed as Helpers on an 89-day rotational basis in the District Panchayat offices of their respective islands to address issues related to disabled persons and other associated matters.","{""AGE"": [""89-day""], ""GENDER"": [], ""LOCATION"": [""District Panchayat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability"", ""disabled""]}"
Loans and Advances for Construction of a House,"The ""Loans and Advances for Construction of a House"" scheme by the Manipur Building and Other Construction Workers' Welfare Board provides financial support to registered construction workers to build their own houses. Beneficiaries can avail loans based on their skill level, with amounts ranging from ₹1,00,000/- to ₹2,00,000/-. The loan carries a 5% simple interest, with a 5-year repayment period, and the worker must submit a completion certificate within six months of receiving the loan.","{""AGE"": [""5-year""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""Other Construction Workers' Welfare Board""], ""INCOME"": [""\u20b91,00,000/- to \u20b92,00,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
